"c1" "c2" "c3" "c4" "t1" "t2" "t3" "t4"
"4957" 6 9 0 4 6 14 7 4
"4958" 20 43 30 24 45 63 42 42
"4959" 11 17 4 26 15 26 16 10
"4960" 39 53 56 48 49 94 74 77
"4961" 3 5 2 7 19 14 23 17
"4962" 5 3 7 5 5 5 5 4
"4963" 2 1 1 5 2 0 0 5
"4964" 0 2 3 5 1 0 2 0
"4965" 3 6 3 9 14 10 6 4
"4966" 2 6 2 0 5 4 4 5
"4967" 0 0 0 0 0 0 0 0
"4968" 13 34 16 27 33 12 28 25
"4969" 9 34 13 20 29 34 31 26
"4970" 0 0 0 0 0 0 0 0
"4971" 0 0 0 0 0 0 0 0
"4972" 4 4 2 13 6 8 12 6
"4973" 3 8 4 9 9 7 9 8
"4974" 0 0 0 0 0 0 0 0
"4975" 9 16 8 25 28 27 27 13
"4976" 19 71 36 69 52 91 66 48
"4977" 1 6 2 3 3 5 5 5
"4978" 4 4 4 4 5 4 1 2
"4979" 5 6 11 8 9 8 5 5
"4980" 35 24 32 36 39 45 55 45
"4981" 13 13 12 20 33 22 31 31
"4982" 8 21 6 21 14 16 25 13
"4983" 0 0 0 0 0 0 0 0
"4984" 2 1 0 1 4 1 3 1
"4985" 2 6 10 16 8 14 11 10
"4986" 96 103 112 75 120 186 146 143
"4987" 37 46 53 58 36 57 34 59
"4988" 6 8 1 14 10 13 8 15
"4989" 6 8 3 15 14 11 14 10
"4990" 0 1 2 2 4 5 4 1
"4991" 10 4 4 6 4 7 4 8
"4992" 6 10 14 9 6 9 7 9
"4993" 42 50 33 49 58 50 63 48
"4994" 7 6 4 2 7 6 12 8
"4995" 5 7 8 6 15 11 13 8
"4996" 13 9 4 5 15 6 11 8
"4997" 0 4 3 0 4 2 3 1
"4998" 5 14 7 10 8 12 13 7
"4999" 5 6 5 3 15 9 3 6
"5000" 6 3 5 6 4 3 2 2
"5001" 12 6 3 2 5 3 5 8
"5002" 0 0 0 0 0 0 0 0
"5003" 14 18 10 13 11 14 11 11
"5004" 0 0 0 0 0 0 0 0
"5005" 12 23 25 14 26 42 20 44
"5006" 0 0 0 0 0 0 0 0
"5007" 13 18 9 16 12 13 19 24
"5008" 20 34 12 18 19 18 14 28
"5009" 0 0 0 0 0 0 0 0
"5010" 4 8 7 8 10 7 7 9
"5011" 68 111 83 134 162 175 124 125
"5012" 51 34 33 58 46 46 57 43
"5013" 0 0 0 0 0 0 0 0
"5014" 5 7 6 5 5 1 2 8
"5015" 0 0 0 0 0 0 0 0
"5016" 43 59 59 44 78 66 54 82
"5017" 0 0 0 0 0 0 0 0
"5018" 0 0 0 0 0 0 0 0
"5019" 30 62 31 39 90 44 83 73
"5020" 5 3 8 15 9 3 4 10
"5021" 6 12 6 6 7 8 7 5
"5022" 27 30 8 20 30 32 17 29
"5023" 1 4 11 7 4 11 11 8
"5024" 0 0 0 0 0 0 0 0
"5025" 29 35 14 20 44 24 40 45
"5026" 15 16 6 13 13 15 11 15
"5027" 5 3 2 9 4 7 8 8
"5028" 10 11 13 20 22 19 16 17
"5029" 3 5 5 2 7 3 2 9
"5030" 7 5 7 11 14 12 9 11
"5031" 14 24 26 22 25 28 20 27
"5032" 7 17 10 18 24 27 13 22
"5033" 19 18 11 13 17 26 10 20
"5034" 11 16 14 19 9 19 23 28
"5035" 1 5 0 0 4 3 3 1
"5036" 14 18 10 12 19 15 17 7
"5037" 8 12 13 8 14 18 11 20
"5038" 0 0 0 0 0 0 0 0
"5039" 0 0 0 0 0 0 0 0
"5040" 1 1 1 1 0 2 4 3
"5041" 16 25 16 27 27 30 41 29
"5042" 7 9 2 11 8 6 4 5
"5043" 34 33 25 46 40 42 36 31
"5044" 4 5 5 11 18 11 13 4
"5045" 0 0 0 0 0 0 0 0
"5046" 6 8 11 11 13 12 12 13
"5047" 42 54 36 57 54 82 43 36
"5048" 41 79 63 104 80 90 117 59
"5049" 4 3 3 2 2 2 7 4
"5050" 0 0 0 0 0 0 0 0
"5051" 0 0 0 0 0 0 0 0
"5052" 47 50 31 45 28 45 42 48
"5053" 12 7 3 6 4 5 5 6
"5054" 0 0 0 0 0 0 0 0
"5055" 3 2 3 2 7 7 3 7
"5056" 0 0 0 0 0 0 0 0
"5057" 7 9 5 1 9 7 6 12
"5058" 0 0 0 0 0 0 0 0
"5059" 20 7 13 17 12 11 23 15
"5060" 0 0 0 0 0 0 0 0
"5061" 4 4 5 3 10 1 1 5
"5062" 0 0 0 0 0 0 0 0
"5063" 38 16 21 26 38 24 20 24
"5064" 52 42 44 51 57 88 63 88
"5065" 0 0 0 0 0 0 0 0
"5066" 0 0 0 0 0 0 0 0
"5067" 22 17 24 34 25 51 43 45
"5068" 5 19 8 15 4 24 9 5
"5069" 4 5 3 6 8 12 7 7
"5070" 0 0 0 0 0 0 0 0
"5071" 17 21 32 25 26 39 18 42
"5072" 37 31 25 34 43 41 40 47
"5073" 8 10 8 9 10 14 11 11
"5074" 0 0 0 0 0 0 0 0
"5075" 0 0 0 0 0 0 0 0
"5076" 65 75 63 113 93 77 79 90
"5077" 172 126 116 167 136 157 127 144
"5078" 1 3 4 6 4 1 9 10
"5079" 23 34 30 42 40 71 40 29
"5080" 60 74 62 78 78 43 70 84
"5081" 12 5 11 4 13 20 12 14
"5082" 21 26 7 26 33 41 28 16
"5083" 13 24 22 14 21 20 28 20
"5084" 5 4 9 7 8 6 1 8
"5085" 33 35 40 42 46 60 43 47
"5086" 1 0 0 0 0 0 1 0
"5087" 29 58 30 65 82 49 37 42
"5088" 1 2 3 8 2 4 1 5
"5089" 5 3 5 2 8 6 8 4
"5090" 12 6 4 9 11 11 19 10
"5091" 0 0 0 0 0 0 0 0
"5092" 12 6 5 11 29 22 25 23
"5093" 0 2 3 1 3 1 1 2
"5094" 13 10 8 16 9 11 8 9
"5095" 4 3 2 1 3 3 1 7
"5096" 4 5 6 10 7 7 12 2
"5097" 5 11 8 12 22 14 15 7
"5098" 3 2 1 1 0 2 3 2
"5099" 0 0 0 0 0 0 0 0
"5100" 6 9 5 8 9 33 8 7
"5101" 8 10 10 13 17 19 10 5
"5102" 7 8 3 6 8 2 4 5
"5103" 7 10 5 11 4 13 4 15
"5104" 11 3 7 7 26 24 25 21
"5105" 29 53 26 56 50 54 71 49
"5106" 31 48 47 26 32 53 47 72
"5107" 7 11 5 14 10 5 12 11
"5108" 2 9 2 7 6 10 11 4
"5109" 6 14 6 3 10 12 10 9
"5110" 17 14 13 14 13 13 10 13
"5111" 57 103 62 114 120 135 109 90
"5112" 74 59 64 63 125 137 98 77
"5113" 21 28 13 27 11 22 22 29
"5114" 0 0 0 0 0 0 0 0
"5115" 7 11 7 15 12 20 10 19
"5116" 0 0 0 0 0 0 0 0
"5117" 0 0 0 0 0 0 0 0
"5118" 0 0 0 0 0 0 0 0
"5119" 4 14 8 2 11 6 10 7
"5120" 4 6 3 2 3 5 2 1
"5121" 2 4 3 1 3 2 2 0
"5122" 4 4 4 5 2 2 3 2
"5123" 24 17 26 30 24 33 22 34
"5124" 0 0 0 0 0 0 0 0
"5125" 7 8 11 12 10 6 11 14
"5126" 0 0 0 0 0 0 0 0
"5127" 0 0 0 0 0 0 0 0
"5128" 0 0 0 0 0 0 0 0
"5129" 44 33 40 64 66 41 56 58
"5130" 6 5 3 6 19 21 18 10
"5131" 20 42 35 48 53 56 52 68
"5132" 8 13 11 14 18 27 24 14
"5133" 58 82 40 60 75 74 76 103
"5134" 17 28 10 24 14 34 25 17
"5135" 3 3 4 1 28 21 30 22
"5136" 9 10 1 9 11 4 5 9
"5137" 8 18 8 13 4 17 11 10
"5138" 11 11 3 13 4 8 7 6
"5139" 4 2 4 2 7 4 5 2
"5140" 49 77 79 90 122 128 103 74
"5141" 3 3 12 12 14 17 6 12
"5142" 41 39 22 35 29 47 17 26
"5143" 96 88 77 46 79 77 80 72
"5144" 20 26 22 19 33 11 23 19
"5145" 13 24 15 9 17 16 15 15
"5146" 0 0 0 0 0 0 0 0
"5147" 11 13 7 13 12 13 6 7
"5148" 10 7 12 7 0 5 1 3
"5149" 31 33 26 60 54 62 32 40
"5150" 10 25 14 25 27 12 12 17
"5151" 0 0 0 0 0 0 0 0
"5152" 20 17 17 12 9 17 17 14
"5153" 31 19 17 26 22 37 29 38
"5154" 0 0 0 0 0 0 0 0
"5155" 6 5 9 3 17 6 10 9
"5156" 14 15 9 22 23 19 26 21
"5157" 0 0 0 0 0 0 0 0
"5158" 12 4 5 9 9 4 15 0
"5159" 11 20 12 11 8 13 16 13
"5160" 6 22 15 18 29 23 17 20
"5161" 0 0 0 0 0 0 0 0
"5162" 36 44 35 42 38 27 50 45
"5163" 0 0 0 0 0 0 0 0
"5164" 0 0 0 0 0 0 0 0
"5165" 9 12 6 12 8 16 8 8
"5166" 8 12 6 7 7 16 9 8
"5167" 0 0 0 0 0 0 0 0
"5168" 19 20 16 17 4 30 16 21
"5169" 0 0 0 0 0 0 0 0
"5170" 0 0 0 0 0 0 0 0
"5171" 13 13 20 23 16 21 19 32
"5172" 24 17 20 19 27 34 22 37
"5173" 4 6 2 3 5 8 5 5
"5174" 53 91 33 51 73 91 88 78
"5175" 1 5 3 8 8 6 5 2
"5176" 0 0 0 0 0 0 0 0
"5177" 2 2 7 5 2 5 5 4
"5178" 16 11 8 17 22 34 12 9
"5179" 18 11 13 21 14 26 9 16
"5180" 6 3 3 3 9 4 5 8
"5181" 14 11 10 19 25 20 12 10
"5182" 24 15 20 16 20 22 18 14
"5183" 4 5 3 1 3 6 5 8
"5184" 17 6 11 11 18 16 11 17
"5185" 3 7 1 4 4 6 9 7
"5186" 0 0 0 0 0 0 0 0
"5187" 4 3 7 7 14 20 5 8
"5188" 0 0 0 0 0 0 0 0
"5189" 14 20 13 9 21 37 26 14
"5190" 12 27 26 19 37 30 13 35
"5191" 13 3 4 6 17 9 6 3
"5192" 16 25 8 15 16 20 32 18
"5193" 0 0 0 0 0 0 0 0
"5194" 3 3 0 4 4 8 5 4
"5195" 1 3 0 7 3 3 0 4
"5196" 5 12 7 5 12 6 6 8
"5197" 1 9 4 7 2 6 7 7
"5198" 80 74 54 74 57 122 46 80
"5199" 79 48 71 81 82 93 87 102
"5200" 6 9 5 7 7 19 8 10
"5201" 7 7 7 9 19 11 17 9
"5202" 41 23 26 48 40 30 31 24
"5203" 8 17 13 25 76 87 45 58
"5204" 0 0 0 0 0 0 0 0
"5205" 1 4 5 10 5 2 2 7
"5206" 0 0 0 0 0 0 0 0
"5207" 0 0 0 0 0 0 0 0
"5208" 10 13 7 11 17 11 9 14
"5209" 3 2 3 4 1 4 2 3
"5210" 4 2 5 5 7 7 4 5
"5211" 3 18 7 3 4 2 9 9
"5212" 3 8 2 1 6 2 6 8
"5213" 4 2 4 5 8 7 5 7
"5214" 9 8 9 10 15 11 7 10
"5215" 39 42 20 44 39 35 40 38
"5216" 8 10 7 11 6 11 10 15
"5217" 9 14 7 8 18 24 8 28
"5218" 7 4 4 4 1 0 1 3
"5219" 5 14 6 10 6 6 13 5
"5220" 26 30 23 10 21 27 22 21
"5221" 9 24 20 35 29 16 31 33
"5222" 23 36 29 30 54 53 26 34
"5223" 1 2 3 1 3 1 0 1
"5224" 0 0 0 0 0 0 0 0
"5225" 7 2 2 9 8 10 11 12
"5226" 4 5 1 5 8 6 4 6
"5227" 26 32 26 21 30 41 22 21
"5228" 2 1 1 0 4 0 1 2
"5229" 9 11 6 8 15 20 13 18
"5230" 0 0 0 0 0 0 0 0
"5231" 33 46 46 41 55 68 69 41
"5232" 36 37 33 62 67 64 61 53
"5233" 8 8 3 7 4 11 7 10
"5234" 8 9 7 5 10 8 8 13
"5235" 0 0 0 0 0 0 0 0
"5236" 6 7 5 6 9 4 5 8
"5237" 5 6 3 1 3 6 5 4
"5238" 0 0 0 0 0 0 0 0
"5239" 0 0 0 0 0 0 0 0
"5240" 4 14 8 22 10 8 10 5
"5241" 33 17 24 36 43 40 34 33
"5242" 1 7 2 2 1 5 4 3
"5243" 10 8 2 2 3 9 7 11
"5244" 7 12 15 14 18 21 27 13
"5245" 0 0 0 0 0 0 0 0
"5246" 13 20 17 21 42 30 23 19
"5247" 0 0 0 0 0 0 0 0
"5248" 24 31 27 24 94 49 55 71
"5249" 18 20 14 13 12 26 26 16
"5250" 9 12 12 9 10 15 20 13
"5251" 0 0 0 0 0 0 0 0
"5252" 45 57 63 90 60 139 75 71
"5253" 10 15 13 10 18 13 18 16
"5254" 0 0 0 0 0 0 0 0
"5255" 4 1 2 3 0 6 7 2
"5256" 35 64 47 31 40 52 42 75
"5257" 38 45 31 58 52 77 56 79
"5258" 7 7 7 8 5 12 18 15
"5259" 3 3 0 4 3 2 3 0
"5260" 3 3 2 2 0 6 3 4
"5261" 12 19 10 14 19 29 19 6
"5262" 0 0 0 0 0 0 0 0
"5263" 8 8 6 6 15 9 12 6
"5264" 11 7 3 9 6 3 6 7
"5265" 0 0 0 0 0 0 0 0
"5266" 1 2 4 2 1 3 1 5
"5267" 28 35 40 34 50 47 45 32
"5268" 0 0 0 0 0 0 0 0
"5269" 0 0 0 0 0 0 0 0
"5270" 4 3 4 7 6 5 3 6
"5271" 2 11 7 4 7 4 4 10
"5272" 0 0 0 0 0 0 0 0
"5273" 1 2 2 5 4 2 2 1
"5274" 4 7 6 2 7 2 7 3
"5275" 0 0 0 0 0 0 0 0
"5276" 5 4 3 6 2 10 6 9
"5277" 5 8 4 3 10 11 9 8
"5278" 1 1 1 2 0 0 1 3
"5279" 16 18 12 21 18 18 23 23
"5280" 2 9 3 10 6 7 6 7
"5281" 3 12 9 12 10 14 17 11
"5282" 6 6 5 4 3 14 5 6
"5283" 48 58 27 57 72 68 55 65
"5284" 10 9 14 13 5 6 12 7
"5285" 36 78 54 74 290 442 395 344
"5286" 4 15 19 9 7 7 16 9
"5287" 2 3 2 4 1 9 7 1
"5288" 31 21 27 35 24 20 26 10
"5289" 2 7 4 3 5 2 2 4
"5290" 25 30 42 31 73 37 40 40
"5291" 11 21 16 19 47 49 39 60
"5292" 0 0 0 0 0 0 0 0
"5293" 9 6 4 10 19 11 6 10
"5294" 96 89 57 93 137 154 76 91
"5295" 27 54 42 28 47 73 55 45
"5296" 7 18 13 18 12 10 16 18
"5297" 22 27 20 23 19 18 29 27
"5298" 0 2 7 6 8 6 7 2
"5299" 0 0 0 0 0 0 0 0
"5300" 2 7 15 9 6 10 5 10
"5301" 2 1 3 0 1 0 0 1
"5302" 12 7 6 13 8 23 16 11
"5303" 17 24 22 21 5 12 6 5
"5304" 15 24 15 24 24 16 23 26
"5305" 11 12 10 17 15 16 12 13
"5306" 7 12 9 18 3 6 5 2
"5307" 4 6 5 4 5 7 5 8
"5308" 5 4 6 3 11 6 11 10
"5309" 4 6 1 4 2 4 1 5
"5310" 5 7 4 5 8 4 7 6
"5311" 0 0 0 0 0 0 0 0
"5312" 45 34 32 65 18 15 8 15
"5313" 10 15 4 10 12 7 13 13
"5314" 13 17 11 5 19 11 9 17
"5315" 0 0 0 0 0 0 0 0
"5316" 24 26 23 25 28 29 29 26
"5317" 19 17 19 24 26 35 21 27
"5318" 0 0 0 0 0 0 0 0
"5319" 6 18 9 15 11 10 13 10
"5320" 2 3 4 3 2 0 0 0
"5321" 63 108 70 79 55 89 111 92
"5322" 6 9 5 3 23 18 15 9
"5323" 32 37 34 48 59 66 39 51
"5324" 18 22 15 19 34 26 18 27
"5325" 13 15 11 20 20 23 22 18
"5326" 8 7 11 6 6 10 11 10
"5327" 0 0 0 0 0 0 0 0
"5328" 13 15 8 11 9 17 16 24
"5329" 5 9 5 3 6 7 6 6
"5330" 10 15 11 17 15 8 14 14
"5331" 7 11 7 13 9 13 12 7
"5332" 6 3 4 6 5 8 2 7
"5333" 7 5 6 6 4 10 13 5
"5334" 13 11 11 14 21 24 12 10
"5335" 16 10 6 12 20 25 7 13
"5336" 25 36 22 37 39 44 32 32
"5337" 5 7 5 8 6 9 20 4
"5338" 0 0 0 0 0 0 0 0
"5339" 8 4 5 10 3 16 7 8
"5340" 5 4 5 10 6 4 6 5
"5341" 18 9 17 10 25 15 29 10
"5342" 14 22 23 32 18 23 24 27
"5343" 2 1 1 0 1 2 3 4
"5344" 0 0 0 0 0 0 0 0
"5345" 16 19 13 18 15 27 21 23
"5346" 8 13 16 14 71 99 52 57
"5347" 41 55 43 62 55 46 60 70
"5348" 7 14 5 12 10 13 11 14
"5349" 28 31 47 39 35 42 36 24
"5350" 3 7 8 4 3 9 10 8
"5351" 0 0 0 0 0 0 0 0
"5352" 0 0 0 0 0 0 0 0
"5353" 30 28 38 38 32 36 34 43
"5354" 0 0 0 0 0 0 0 0
"5355" 3 6 5 3 5 7 8 2
"5356" 4 2 3 1 2 15 3 7
"5357" 0 0 0 0 0 0 0 0
"5358" 52 85 93 90 128 72 106 202
"5359" 0 0 0 0 0 0 0 0
"5360" 26 18 18 17 19 35 10 19
"5361" 9 11 18 17 8 10 2 7
"5362" 9 4 4 8 9 10 8 4
"5363" 0 0 0 0 0 0 0 0
"5364" 3 1 3 2 4 0 4 0
"5365" 10 8 6 7 32 18 25 22
"5366" 24 33 15 24 27 35 30 32
"5367" 7 8 4 6 6 15 9 14
"5368" 0 0 0 0 0 0 0 0
"5369" 9 4 5 5 9 13 4 4
"5370" 3 1 2 0 1 5 0 2
"5371" 4 5 3 7 10 5 8 7
"5372" 0 0 0 0 0 0 0 0
"5373" 0 0 0 0 0 0 0 0
"5374" 12 20 22 18 27 30 29 13
"5375" 15 3 14 21 14 14 7 10
"5376" 13 9 5 9 21 7 7 6
"5377" 18 14 11 16 20 11 20 24
"5378" 3 6 0 5 7 7 4 3
"5379" 0 0 0 0 0 0 0 0
"5380" 0 0 0 0 0 0 0 0
"5381" 7 12 1 16 10 14 15 11
"5382" 8 14 11 8 13 14 11 14
"5383" 9 10 7 3 14 9 4 7
"5384" 11 10 8 5 20 14 10 8
"5385" 0 0 0 0 0 0 0 0
"5386" 29 22 24 25 89 87 74 84
"5387" 2 2 5 7 1 4 1 4
"5388" 3 8 7 4 22 21 33 22
"5389" 10 17 28 13 17 17 24 17
"5390" 2 1 2 2 0 3 1 1
"5391" 0 0 0 0 0 0 0 0
"5392" 2 6 8 17 3 4 3 5
"5393" 0 0 0 0 0 0 0 0
"5394" 0 0 0 0 0 0 0 0
"5395" 7 9 11 9 13 31 11 18
"5396" 10 14 9 13 10 10 11 20
"5397" 20 13 13 14 15 18 14 23
"5398" 27 32 6 15 42 36 25 19
"5399" 2 0 4 6 4 4 3 4
"5400" 1 7 1 4 3 1 3 3
"5401" 0 0 0 0 0 0 0 0
"5402" 2 1 2 1 4 2 5 1
"5403" 11 8 5 8 6 4 8 9
"5404" 0 0 0 0 0 0 0 0
"5405" 41 59 57 44 47 64 58 54
"5406" 0 0 0 0 0 0 0 0
"5407" 16 22 24 19 23 20 33 32
"5408" 6 5 2 8 3 3 6 3
"5409" 22 39 20 19 13 4 7 11
"5410" 23 28 29 26 29 26 26 22
"5411" 1 3 2 2 2 1 0 1
"5412" 19 9 16 15 24 20 12 19
"5413" 22 13 10 11 17 18 16 21
"5414" 3 3 2 2 3 3 4 5
"5415" 7 4 5 6 15 18 16 17
"5416" 5 5 3 6 2 18 8 5
"5417" 11 9 4 7 11 12 6 13
"5418" 3 9 4 5 3 7 5 2
"5419" 0 0 0 0 0 0 0 0
"5420" 17 15 15 25 17 19 25 30
"5421" 9 11 8 14 16 14 6 8
"5422" 12 21 14 9 20 19 17 27
"5423" 7 16 7 7 20 14 27 9
"5424" 4 5 4 8 7 7 3 3
"5425" 18 24 27 18 16 14 33 18
"5426" 7 15 8 22 10 11 14 11
"5427" 0 0 0 0 0 0 0 0
"5428" 4 4 3 5 3 2 4 3
"5429" 9 13 5 9 7 15 14 8
"5430" 33 29 57 26 41 74 86 51
"5431" 46 31 25 16 23 46 29 43
"5432" 0 0 0 0 0 0 0 0
"5433" 0 0 0 0 0 0 0 0
"5434" 3 2 6 11 1 1 4 6
"5435" 2 0 1 2 7 7 7 5
"5436" 7 9 18 11 14 12 11 15
"5437" 0 0 0 0 0 0 0 0
"5438" 11 6 4 15 18 9 9 10
"5439" 0 0 0 0 0 0 0 0
"5440" 0 0 0 0 0 0 0 0
"5441" 0 0 0 0 0 0 0 0
"5442" 5 7 4 8 7 10 7 3
"5443" 6 1 5 7 5 6 8 6
"5444" 31 38 31 28 65 55 42 40
"5445" 16 32 12 26 23 24 46 52
"5446" 7 1 10 4 10 15 4 4
"5447" 0 4 6 9 2 5 9 8
"5448" 8 15 5 11 13 15 13 14
"5449" 0 0 0 0 0 0 0 0
"5450" 0 6 3 4 5 8 5 0
"5451" 9 34 18 18 33 22 9 14
"5452" 11 23 13 29 20 26 20 25
"5453" 3 6 3 3 3 5 3 8
"5454" 0 0 0 0 0 0 0 0
"5455" 7 4 10 23 24 12 30 17
"5456" 0 0 0 0 0 0 0 0
"5457" 0 3 1 2 0 4 4 7
"5458" 0 0 0 0 0 0 0 0
"5459" 14 14 11 23 17 14 12 13
"5460" 19 45 48 57 10 16 23 13
"5461" 14 7 12 13 32 9 17 13
"5462" 35 42 50 31 87 69 114 105
"5463" 27 29 17 31 31 23 27 26
"5464" 0 1 1 2 0 1 0 1
"5465" 23 19 34 52 43 30 28 38
"5466" 4 6 1 3 3 6 13 7
"5467" 2 7 2 4 4 4 3 6
"5468" 11 11 7 7 9 12 7 10
"5469" 25 16 21 23 35 29 30 32
"5470" 9 11 17 11 91 89 59 57
"5471" 54 52 62 44 55 59 69 78
"5472" 25 11 15 27 10 14 17 14
"5473" 0 0 0 0 0 0 0 0
"5474" 18 37 15 30 27 14 21 32
"5475" 0 0 0 0 0 0 0 0
"5476" 1 6 9 14 13 40 15 14
"5477" 3 3 5 7 11 10 6 10
"5478" 7 6 5 7 6 9 10 11
"5479" 5 2 4 1 2 2 2 2
"5480" 4 8 5 8 9 7 8 5
"5481" 21 38 24 23 47 39 35 42
"5482" 3 0 4 3 3 0 9 2
"5483" 2 4 0 2 4 1 2 3
"5484" 7 13 10 10 11 14 10 9
"5485" 45 52 33 71 67 61 82 56
"5486" 7 15 4 14 13 14 8 9
"5487" 9 9 10 13 9 5 7 5
"5488" 1 0 2 0 0 1 1 1
"5489" 11 18 10 8 13 12 15 9
"5490" 6 8 9 13 11 3 9 9
"5491" 17 17 20 11 8 17 20 6
"5492" 6 7 5 9 7 9 5 6
"5493" 18 19 13 20 19 25 23 17
"5494" 13 20 11 14 14 6 16 17
"5495" 13 12 18 13 21 28 21 14
"5496" 0 0 0 0 0 0 0 0
"5497" 6 10 14 21 8 8 4 11
"5498" 4 3 2 1 2 0 1 1
"5499" 4 1 3 10 16 11 8 10
"5500" 22 51 48 58 45 54 49 50
"5501" 3 6 4 2 2 6 2 3
"5502" 25 26 18 15 25 25 16 29
"5503" 15 12 21 23 21 10 18 16
"5504" 18 12 23 21 29 22 36 16
"5505" 0 0 0 0 0 0 0 0
"5506" 8 3 4 6 13 8 6 11
"5507" 6 12 24 27 27 25 14 10
"5508" 18 25 25 30 30 41 33 44
"5509" 0 0 0 0 0 0 0 0
"5510" 0 0 0 0 0 0 0 0
"5511" 1 5 1 7 5 7 6 9
"5512" 5 19 9 9 5 2 0 6
"5513" 17 26 14 27 30 13 19 9
"5514" 4 8 11 9 11 10 7 14
"5515" 14 32 26 40 22 38 36 20
"5516" 0 0 0 0 0 0 0 0
"5517" 0 0 0 0 0 0 0 0
"5518" 10 7 8 6 7 5 16 10
"5519" 16 15 14 14 15 11 12 10
"5520" 0 0 0 0 0 0 0 0
"5521" 9 12 7 2 7 7 6 5
"5522" 26 23 21 25 32 31 23 24
"5523" 9 12 6 11 11 9 15 14
"5524" 0 0 0 0 0 0 0 0
"5525" 6 11 4 10 16 14 16 15
"5526" 9 7 16 18 10 5 8 9
"5527" 40 26 13 43 40 36 38 35
"5528" 8 13 8 4 12 4 16 11
"5529" 4 8 7 4 9 12 6 9
"5530" 30 39 20 31 37 38 41 49
"5531" 58 46 41 30 51 61 44 53
"5532" 8 12 14 16 9 11 16 15
"5533" 0 0 0 0 0 0 0 0
"5534" 0 0 0 0 0 0 0 0
"5535" 0 3 1 1 3 2 0 5
"5536" 0 0 0 0 0 0 0 0
"5537" 0 0 0 0 0 0 0 0
"5538" 5 9 3 6 7 6 2 6
"5539" 0 0 0 0 0 0 0 0
"5540" 54 50 48 48 44 62 50 50
"5541" 0 0 0 0 0 0 0 0
"5542" 83 61 51 55 60 67 51 60
"5543" 0 2 0 2 3 1 0 0
"5544" 0 0 0 0 0 0 0 0
"5545" 4 4 3 1 4 5 5 5
"5546" 0 0 0 0 0 0 0 0
"5547" 18 18 21 19 23 45 23 22
"5548" 46 37 29 43 77 65 66 52
"5549" 17 23 20 34 46 39 31 41
"5550" 0 0 0 0 0 0 0 0
"5551" 7 13 7 6 7 12 15 15
"5552" 5 5 12 6 6 11 8 9
"5553" 7 6 8 3 4 8 4 5
"5554" 2 4 5 5 6 1 4 8
"5555" 0 0 0 0 0 0 0 0
"5556" 21 20 12 29 19 17 24 20
"5557" 0 0 0 0 0 0 0 0
"5558" 5 1 1 6 4 1 3 7
"5559" 18 71 36 35 46 54 43 24
"5560" 0 0 0 0 0 0 0 0
"5561" 0 0 0 0 0 0 0 0
"5562" 168 179 175 162 104 174 192 194
"5563" 1 7 1 4 3 4 4 5
"5564" 1 4 0 1 1 2 0 0
"5565" 0 0 0 0 0 0 0 0
"5566" 3 3 1 1 3 4 4 3
"5567" 0 0 0 0 0 0 0 0
"5568" 4 1 2 4 1 6 2 3
"5569" 0 3 3 1 4 2 3 4
"5570" 3 6 1 5 6 4 3 5
"5571" 30 21 18 39 29 22 28 31
"5572" 11 18 12 9 15 17 20 15
"5573" 10 5 9 9 17 18 13 10
"5574" 29 34 22 42 40 31 30 37
"5575" 4 3 6 14 11 8 20 10
"5576" 3 3 5 9 9 9 11 13
"5577" 0 0 0 0 0 0 0 0
"5578" 32 34 23 45 49 40 22 55
"5579" 1 2 2 0 1 2 0 1
"5580" 0 0 0 0 0 0 0 0
"5581" 22 6 25 28 19 24 28 16
"5582" 6 11 12 20 14 10 15 10
"5583" 6 6 5 7 5 7 11 4
"5584" 0 0 0 0 0 0 0 0
"5585" 0 0 0 0 0 0 0 0
"5586" 5 6 5 3 6 6 8 5
"5587" 0 0 0 0 0 0 0 0
"5588" 5 2 1 3 2 2 5 5
"5589" 0 0 0 0 0 0 0 0
"5590" 37 43 47 61 97 65 74 77
"5591" 1 2 6 3 1 0 3 6
"5592" 4 6 3 8 4 7 6 10
"5593" 0 0 0 0 0 0 0 0
"5594" 47 60 81 52 97 101 54 51
"5595" 8 8 8 10 5 3 7 10
"5596" 6 8 7 8 10 7 8 7
"5597" 37 55 33 51 63 55 51 44
"5598" 25 21 28 31 45 34 27 42
"5599" 3 3 3 3 7 8 2 4
"5600" 24 28 26 24 32 47 47 25
"5601" 17 29 15 17 24 25 19 28
"5602" 0 0 0 0 0 0 0 0
"5603" 5 6 9 7 6 5 7 0
"5604" 2 4 4 3 2 2 2 2
"5605" 11 5 8 5 12 24 9 19
"5606" 9 13 10 21 17 18 8 16
"5607" 45 23 30 34 26 21 11 23
"5608" 99 111 136 118 179 203 212 281
"5609" 13 38 41 34 55 56 50 79
"5610" 29 25 19 26 22 31 43 18
"5611" 10 21 20 19 25 37 36 27
"5612" 26 30 35 34 20 37 52 36
"5613" 32 31 31 44 42 36 38 32
"5614" 11 21 10 13 20 18 21 14
"5615" 33 24 41 38 46 54 37 39
"5616" 17 13 19 24 14 18 16 19
"5617" 9 18 9 16 18 15 14 19
"5618" 5 5 5 5 6 6 11 5
"5619" 11 12 13 14 17 21 12 14
"5620" 0 0 0 0 0 0 0 0
"5621" 7 8 5 7 16 18 11 12
